method,layer,k,mean_probe_accuracy
ica,12,1,0.78060625
ica,12,2,0.819625
ica,12,5,0.8801375
ica,12,10,0.90500625
ica,12,20,0.9222874999999999
ica,12,50,0.93743125
ica,12,100,0.9442499999999999
pca,12,1,0.66625
pca,12,2,0.687925
pca,12,5,0.7317437499999999
pca,12,10,0.7589187500000001
pca,12,20,0.78301875
pca,12,50,0.815075
pca,12,100,0.8381437500000001
random,12,1,0.7328250000000001
random,12,2,0.7593187499999999
random,12,5,0.7964625
random,12,10,0.8143875
random,12,20,0.8241437500000001
random,12,50,0.8362875000000001
random,12,100,0.8450125
sae,12,1,0.75345625
sae,12,2,0.8117687499999999
sae,12,5,0.8821375
sae,12,10,0.911825
sae,12,20,0.9290437500000001
sae,12,50,0.94593125
sae,12,100,0.9509875
ica,20,1,0.822375
ica,20,2,0.8513375000000001
ica,20,5,0.90318125
ica,20,10,0.9282437499999999
ica,20,20,0.93728125
ica,20,50,0.94974375
ica,20,100,0.953575
pca,20,1,0.7025624999999999
pca,20,2,0.7353625
pca,20,5,0.80258125
pca,20,10,0.8287687499999999
pca,20,20,0.8519125000000001
pca,20,50,0.87725625
pca,20,100,0.89250625
random,20,1,0.7699624999999999
random,20,2,0.80430625
random,20,5,0.8392437500000001
random,20,10,0.8586687500000001
random,20,20,0.87215625
random,20,50,0.8817000000000002
random,20,100,0.8882187500000001
sae,20,1,0.8138124999999999
sae,20,2,0.86579375
sae,20,5,0.90430625
sae,20,10,0.9258875000000001
sae,20,20,0.9396937499999999
sae,20,50,0.9491875
sae,20,100,0.9520625
