method,layer,k,mean_probe_accuracy
ica,6,1,0.6924062500000001
ica,6,2,0.7698812499999999
ica,6,5,0.8329125000000001
ica,6,10,0.85999375
ica,6,20,0.883075
ica,6,50,0.9033
ica,6,100,0.9108624999999999
pca,6,1,0.599425
pca,6,2,0.6429375
pca,6,5,0.7213999999999999
pca,6,10,0.77936875
pca,6,20,0.82293125
pca,6,50,0.8768875
pca,6,100,0.8996000000000001
random,6,1,0.6535562500000001
random,6,2,0.7032
random,6,5,0.7612
random,6,10,0.80705625
random,6,20,0.8418125
random,6,50,0.8824625
random,6,100,0.9021562500000001
sae,6,1,0.705225
sae,6,2,0.77719375
sae,6,5,0.8257
sae,6,10,0.855425
sae,6,20,0.8784624999999999
sae,6,50,0.903775
sae,6,100,0.9153875
ica,10,1,0.7673875000000001
ica,10,2,0.8179000000000001
ica,10,5,0.86430625
ica,10,10,0.87898125
ica,10,20,0.89740625
ica,10,50,0.9167437500000001
ica,10,100,0.9249499999999999
pca,10,1,0.6886375
pca,10,2,0.7340249999999999
pca,10,5,0.80300625
pca,10,10,0.8437625
pca,10,20,0.87414375
pca,10,50,0.9029875
pca,10,100,0.91405625
random,10,1,0.7331750000000001
random,10,2,0.7775687499999999
random,10,5,0.82354375
random,10,10,0.8485625000000001
random,10,20,0.8762124999999998
random,10,50,0.90393125
random,10,100,0.9129812500000001
sae,10,1,0.74071875
sae,10,2,0.7986312499999999
sae,10,5,0.8478374999999999
sae,10,10,0.8745812500000001
sae,10,20,0.8951374999999999
sae,10,50,0.91521875
sae,10,100,0.92349375
