method,layer,k,mean_probe_accuracy
ica,12,1,0.8251125
ica,12,2,0.8596437499999998
ica,12,5,0.90134375
ica,12,10,0.917625
ica,12,20,0.93265625
ica,12,50,0.94354375
ica,12,100,0.9485062500000001
pca,12,1,0.68475625
pca,12,2,0.7036
pca,12,5,0.7431625
pca,12,10,0.7739437499999999
pca,12,20,0.8015500000000001
pca,12,50,0.8368687499999998
pca,12,100,0.85583125
random,12,1,0.7463625000000002
random,12,2,0.7860875
random,12,5,0.8169375
random,12,10,0.832725
random,12,20,0.84473125
random,12,50,0.85813125
random,12,100,0.8612874999999999
sae,12,1,0.81105
sae,12,2,0.83638125
sae,12,5,0.8795000000000001
sae,12,10,0.9070187500000001
sae,12,20,0.93069375
sae,12,50,0.9440312500000001
sae,12,100,0.9489124999999999
ica,20,1,0.825825
ica,20,2,0.8684999999999999
ica,20,5,0.9026874999999999
ica,20,10,0.9230125
ica,20,20,0.9373749999999998
ica,20,50,0.9489875
ica,20,100,0.9538375000000001
pca,20,1,0.73889375
pca,20,2,0.779525
pca,20,5,0.81228125
pca,20,10,0.83591875
pca,20,20,0.8539874999999999
pca,20,50,0.8762624999999999
pca,20,100,0.88910625
random,20,1,0.7720125000000001
random,20,2,0.8072375000000002
random,20,5,0.8383562499999999
random,20,10,0.8535375000000001
random,20,20,0.86519375
random,20,50,0.8789000000000001
random,20,100,0.88415625
sae,20,1,0.8192624999999999
sae,20,2,0.863975
sae,20,5,0.8938250000000001
sae,20,10,0.9196749999999998
sae,20,20,0.932675
sae,20,50,0.94485
sae,20,100,0.9521375000000001
